ID,Gender,Age,InternetUse,Area,FirstTime,Satisfied,Convenient,WaitDays,WaitMinutes
1,Male,40,<1 hour,Rural,Yes,Disagree,Somewhat disagree,2,15
2,Male,30,>3 hours,Suburban,Yes,Agree,Somewhat agree,2,5
3,Female,47,>3 hours,Urban,Yes,Strongly agree,Agree,2,30
4,Male,36,<1 hour,Suburban,Yes,Somewhat agree,Agree,1,5
5,Male,23,<1 hour,Rural,No,Somewhat disagree,Disagree,1,15
6,Female,24,>3 hours,Suburban,Yes,Strongly agree,Strongly agree,0,30
7,Male,33,>3 hours,Urban,No,Somewhat agree,Strongly agree,6,15
8,Female,47,<1 hour,Urban,Yes,Agree,Strongly agree,0,5
9,Male,28,>3 hours,Urban,Yes,Agree,Agree,2,5
10,Male,30,<1 hour,Suburban,No,Neither agree nor disagree,Neither agree nor disagree,1,25
11,Female,51,<1 hour,Rural,Yes,Strongly agree,Strongly agree,2,2
12,Male,40,>3 hours,Suburban,Yes,Strongly agree,Agree,3,2
13,Male,43,1-3 hours,Urban,Yes,Somewhat agree,Neither agree nor disagree,7,3
14,Female,42,1-3 hours,Urban,Yes,Neither agree nor disagree,Neither agree nor disagree,5,5
15,Female,54,<1 hour,Suburban,No,Neither agree nor disagree,Somewhat disagree,5,30
16,Male,42,1-3 hours,Urban,Yes,Neither agree nor disagree,Somewhat disagree,5,5
17,Male,28,<1 hour,Urban,Yes,Agree,Strongly agree,2,45
18,Male,32,<1 hour,Urban,Yes,Strongly agree,Neither agree nor disagree,2,20
19,Male,35,<1 hour,Suburban,Yes,Strongly agree,Strongly agree,2,50
20,Female,33,1-3 hours,Rural,Yes,Somewhat agree,Agree,2,60
21,Male,54,<1 hour,Urban,Yes,Strongly agree,Agree,0,23
22,Female,29,1-3 hours,Urban,Yes,Somewhat disagree,Disagree,5,58
23,Male,48,<1 hour,Rural,Yes,Strongly agree,Strongly agree,0,45
24,Female,29,<1 hour,Suburban,Yes,Neither agree nor disagree,Agree,2,20
25,Male,40,<1 hour,Rural,Yes,Somewhat disagree,Somewhat disagree,3,50
26,Male,54,1-3 hours,Suburban,Yes,Somewhat agree,Somewhat disagree,2,5
27,Male,56,<1 hour,Rural,No,Somewhat disagree,Somewhat disagree,10,6
28,Male,31,<1 hour,Urban,Yes,Strongly agree,Agree,3,15
29,Female,35,1-3 hours,Suburban,Yes,Somewhat agree,Somewhat agree,0,10
30,Male,34,1-3 hours,Urban,Yes,Strongly agree,Somewhat agree,4,40
31,Female,26,<1 hour,Urban,Yes,Somewhat agree,Agree,0,30
32,Female,30,<1 hour,Suburban,Yes,Somewhat agree,Somewhat agree,5,20
33,Female,30,1-3 hours,Suburban,Yes,Agree,Strongly agree,2,40
34,Female,56,>3 hours,Urban,Yes,Somewhat agree,Somewhat agree,2,15
35,Female,57,1-3 hours,Suburban,No,Somewhat agree,Strongly agree,3,30
36,Male,30,>3 hours,Rural,Yes,Agree,Somewhat agree,2,20
37,Female,30,1-3 hours,Urban,Yes,Somewhat agree,Somewhat agree,3,30
38,Male,38,>3 hours,Urban,Yes,Strongly agree,Strongly agree,2,30
39,Male,27,>3 hours,Urban,Yes,Somewhat agree,Strongly agree,2,25
40,Male,37,1-3 hours,Urban,Yes,Agree,Somewhat agree,3,10
41,Female,47,<1 hour,Urban,No,Neither agree nor disagree,Neither agree nor disagree,0,30
42,Female,47,>3 hours,Urban,Yes,Neither agree nor disagree,Neither agree nor disagree,0,10
43,Female,46,<1 hour,Urban,Yes,Strongly agree,Agree,0,20
44,Female,37,<1 hour,Urban,Yes,Neither agree nor disagree,Somewhat agree,0,20
45,Male,48,1-3 hours,Urban,Yes,Strongly disagree,Disagree,0,10
46,Male,30,>3 hours,Urban,Yes,Strongly agree,Strongly agree,0,3
47,Female,45,>3 hours,Urban,Yes,Somewhat agree,Somewhat agree,2,30
48,Male,25,1-3 hours,Urban,Yes,Agree,Agree,45,30
49,Male,28,1-3 hours,Urban,Yes,Somewhat disagree,Somewhat disagree,0,90
50,Male,36,<1 hour,Suburban,Yes,Somewhat agree,Somewhat agree,15,25
